index,archetype,complexity,time,resources,story,goal,steps,what_to_say,how_to_identify,comm_intervention,gap_analysis,admin_fix,confidence
263,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 263 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
264,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 264 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
265,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 265 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
266,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 266 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
267,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 267 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
268,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 268 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
269,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 269 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
270,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 270 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
271,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 271 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
272,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 272 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
273,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 273 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
274,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 274 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
275,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 275 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
276,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 276 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
277,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 277 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
278,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 278 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
279,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 279 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
280,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 280 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
281,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 281 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
282,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 282 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
283,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 283 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
284,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 284 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
285,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 285 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
286,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 286 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
287,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 287 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
288,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 288 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
289,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 289 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
290,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 290 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
291,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 291 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
292,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 292 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
293,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 293 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
294,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 294 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
295,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 295 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
296,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 296 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
297,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 297 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
298,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 298 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
299,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 299 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
300,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 300 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
301,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 301 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
302,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 302 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
303,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 303 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
304,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 304 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
305,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 305 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
306,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 306 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
307,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 307 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
308,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 308 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
309,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 309 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
310,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 310 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
311,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 311 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
312,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 312 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
313,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 313 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
314,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 314 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
315,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 315 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
316,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 316 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
317,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 317 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
318,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 318 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
319,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 319 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
320,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 320 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
321,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 321 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
322,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 322 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
323,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 323 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
324,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 324 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
325,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 325 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
326,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 326 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
327,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 327 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
328,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 328 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
329,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 329 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
330,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 330 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
331,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 331 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
332,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 332 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
333,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 333 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
334,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 334 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
335,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 335 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
336,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 336 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
337,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 337 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
338,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 338 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
339,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 339 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
340,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 340 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
341,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 341 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
342,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 342 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
343,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 343 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
344,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 344 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
345,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 345 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
346,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 346 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
347,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 347 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
348,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 348 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
349,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 349 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
350,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 350 focusing on regional mobilization and peer-to-peer mentoring clinics.,To build a regional network of solvers through collective action.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
355,Solver,High,8-12 Weeks,"AQI Data (Central Pollution Control Board), Python/Excel, Local Ward Health Records","Lakshay analyzed 5 years of air quality data for Jalandhar and found that peak pollution coincides with harvest and festival seasons (Oct-Nov). He didn't just complain; he drafted a ""Peak Waste Management"" recommendation for the municipal corporation to increase sweeping and sprinkling during these months.",Design a season-specific pollution mitigation strategy using 5 years of CPCB data.,1. The Data Pull: Download AQI data for your city from the **CPCB National AQI Portal**. 2. The Trend Audit: Filter for Oct-Feb months specifically. 3. The Visual Hook: Create a 'Time-Series Plot' to show the pollution spikes to local officials. 4. Strategic Ask: Request the city to increase 'Water Sprinkling' and 'Night Sweeping' specifically during these peak weeks.,"To the Zonal Health Officer: 'Sir, our analysis of 5-year AQI data shows a consistent 200-point jump in November. Under SBM-U 2.0 air quality safety rules, we request an increase in water-sprinklers on the [Road Name] route during these 30 days.'","To find the official **AQI Station** in your city, look for the 'Digital Display Board' usually located at the busiest traffic intersection or main Municipal Building gate.",No,Recipe: AQI Filtering Spreadsheet; Standard: National Ambient Air Quality Standards (NAAQS).,5,
480,Solver,Medium,2-4 Weeks,"Changemaker Portfolio Template, GPS Photos, Certificate of Appreciation","The journey doesn't end with the cleanup. In the ""Closing Ceremony,"" students realized the value of their work by documenting it into a Portfolio. They presented their ""20 Tonne Impact"" to the Mayor and received official appreciation, making their civic leadership resume-ready.","Generate a professional ""Changemaker Portfolio"" that documents your civic impact for institutional and government recognition.","1. The Impact Log: Total your impact numbers (e.g., 20 tonnes waste, 30 signatures, 5 letters). 2. The Visual Proof: Include the 'Before vs. After' geo-tagged photos in a clean PPT or PDF. 3. The Testimonial: Collect a quote from the SI (e.g., Vikrant Sir) or Principal about your persistence. 4. The Final Pitch: Share your digital portfolio on LinkedIn tagging your city's official handle.","To the Official: 'Sir, thank you for your support during the [Mission]. Here is the impact report of our joint effort. We would appreciate a formal signature on our Changemaker Portfolio to document this successful civic partnership.'","To find the best way to present impact, check the **Solve Ninja 'Portfolio Builder'** guide for recommended templates.",No,Template: Changemaker Impact Report; Standard: Skill India / NSS Recognition Framework.,5,
351,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 351 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
352,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 352 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
353,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 353 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
354,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 354 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
356,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 356 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
357,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 357 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
358,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 358 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
359,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 359 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
360,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 360 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
361,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 361 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
362,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 362 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
363,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 363 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
364,Solver,Medium,4-6 Weeks,General Civic Toolkits,Mission placeholder for index 364 focusing on data-driven civic action and sustainable community building.,To finalize local impact through systemic data analysis and reporting.,Generated steps...,Generated script...,Local identification guide...,Yes,Identified gaps...,Recipe...,5.0
